"jmdict_seq","kanji","kana","waller_definition","origin","original"
1565440,"嗚呼","ああ","Ah!, Oh!, Alas!","waller",
1565440,,"ああ","Ah!, Oh!, Alas!","jmdict","嗚呼"
1565440,"噫","ああ","Ah!, Oh!, Alas!","jmdict","嗚呼"
1565440,"嗟","ああ","Ah!, Oh!, Alas!","jmdict","嗚呼"
1565440,,"あー","Ah!, Oh!, Alas!","jmdict","嗚呼"
1565440,,"あぁ","Ah!, Oh!, Alas!","jmdict","嗚呼"
1565440,,"アー","Ah!, Oh!, Alas!","jmdict","嗚呼"
1565440,,"アア","Ah!, Oh!, Alas!","jmdict","嗚呼"
1565440,,"アァ","Ah!, Oh!, Alas!","jmdict","嗚呼"
1400800,"相","あい","together, mutually, fellow","waller",
1401310,"相変わらず","あいかわらず","as ever, as usual, the same","waller",
1575660,"愛想","あいそ","civility, courtesy, compliments, sociability, graces","waller",
1575660,"愛想","あいそう","civility, courtesy, compliments, sociability, graces","jmdict","あいそ"
1401100,"相対","あいたい","confrontation, facing, between ourselves, no third party, tete-a-tete","waller",
1215660,"間柄","あいだがら","relation(ship)","waller",
1215660,"間がら","あいだがら","relation(ship)","jmdict","間柄"
1575670,"愛憎","あいぞう","likes and dislikes","waller",
1284670,"合間","あいま","interval","waller",
1284670,"合い間","あいま","interval","jmdict","合間"
1212850,"敢えて","あえて","dare (to do), challenge (to do)","waller",
1212850,,"あえて","dare (to do), challenge (to do)","jmdict","敢えて"
1212850,"敢て","あえて","dare (to do), challenge (to do)","jmdict","敢えて"
1238780,"仰ぐ","あおぐ","to look up (to), to respect, to depend on, to ask for, to seek, to revere, to drink, to take","waller",
1277420,"垢","あか","dirt, filth","waller",
1149680,"亜科","あか","suborder, subfamily","waller",
1582390,"銅","あかがね","copper","waller",
1351580,"証","あかし","proof, evidence","waller",
1351580,"証","しょう","proof, evidence","jmdict","あかし"
1351580,"証し","あかし","proof, evidence","jmdict","証"
1383440,"赤字","あかじ","deficit, go in the red","waller",
1532220,"明かす","あかす","to pass, spend, to reveal, to divulge","waller",
1383260,"赤ちゃん","あかちゃん","baby, infant","waller",
1000225,"明白","あからさま","obvious, overt, plainly, frankly","waller",
1000225,,"あからさま","obvious, overt, plainly, frankly","jmdict","明白"
1000225,"偸閑","あからさま","obvious, overt, plainly, frankly","jmdict","明白"
1000225,"白地","あからさま","obvious, overt, plainly, frankly","jmdict","明白"
1383280,"赤らむ","あからむ","to become red, to redden, to blush","waller",
1532350,"明るい","あかるい","bright, cheerful","waller",
1352190,"上がり","あがり","1. slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after","waller",
1352190,,"あがり","1. slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after","jmdict","上がり"
1352190,"揚がり","あがり","1. slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after","jmdict","上がり"
1352290,"上がる","あがる","to enter, to go up, to rise, to climb up, to advance, to appreciate, to be promoted, to improve, to call on,","waller",
1580270,"商人","あきうど","trader, shopkeeper, merchant","waller",
1676080,"空間","あきま","vacancy, room for rent or lease","waller",
1676080,"空き間","あきま","vacancy, room for rent or lease","jmdict","空間"
1436720,"諦め","あきらめ","resignation, acceptance, consolation","waller",
1515580,"呆れる","あきれる","to be amazed, to be shocked","waller",
1151230,"悪","あく","evil, wickedness","waller",
1151230,"惡","あく","evil, wickedness","jmdict","悪"
1201960,"灰汁","あく","puckery juice","waller",
1201960,,"あく","puckery juice","jmdict","灰汁"
1201960,,"アク","puckery juice","jmdict","灰汁"
1000260,"悪どい","あくどい","1. gaudy, showy, excessive, 2. vicious","waller",
1000260,,"あくどい","1. gaudy, showy, excessive, 2. vicious","jmdict","悪どい"
1575770,"悪日","あくび","unlucky day","waller",
1575770,"悪日","あくにち","unlucky day","jmdict","あくび"
1532250,"明くる","あくる","next, following","waller",
1532250,,"あくる","next, following","jmdict","明くる"
1532250,"翌る","あくる","next, following","jmdict","明くる"
1453800,"憧れ","あこがれ","yearning, longing, aspiration","waller",
