jmdict_seq,kana,kanji,waller_definition
1198180,あう,会う,to meet
1381380,あお,青,blue
1381390,あおい,青い,blue
2013900,あか,赤,red
1383240,あかい,赤い,red
1532350,あかるい,明い,bright
1332650,あき,秋,autumn
1586270,あく,開く,"to open, to become open"
1202450,あける,開ける,to open
1352320,あげる,上げる,to give
1428280,あさ,朝,morning
1586330,あさごはん,朝御飯,breakfast
1584640,あさって,,day after tomorrow
1404630,あし,足,"foot, leg"
1584660,あした,明日,tomorrow
1000320,あそこ,,over there
1542160,あそぶ,遊ぶ,"to play, to make a visit"
1586420,あたたかい,暖かい,warm
1582310,あたま,頭,head
1361490,あたらしい,新しい,new
1483185,あちら,,there
1343460,あつい,暑い,hot
1467720,あつい,熱い,hot to the touch
1275320,あつい,厚い,"kind, deep, thick"
1483185,あっち,,over there
1269320,あと,後,afterwards
1223615,あなた,貴方,you
1249900,あに,兄,(humble) older brother
1307630,あね,姉,(humble) older sister
1000430,あの,,um...
1017760,アパート,,apartment
1547450,あびる,,"to bathe, to shower"
1218380,あぶない,危ない,dangerous
1213400,あまい,甘い,sweet
1584930,あまり,,not very
1171900,あめ,雨,rain
1153520,あめ,飴,candy
1390930,あらう,洗う,to wash
1296400,ある,有る,"to be,to have (used for inanimate objects)"
1514320,あるく,歩く,to walk
2847612,あれ,,that
2820690,いい,,good
1605820,よい,良い,good
1583250,いいえ,,no
1587040,いう,言う,to say
1191730,いえ,家,house
2845606,いかが,,how
1578850,いく,行く,to go
1219960,いくつ,,"how many?,how old?"
1219980,いくら,,how much?
1421700,いけ,池,pond
1159980,いしゃ,医者,medical doctor
1157070,いす,,chair
1519290,いそがしい,忙しい,"busy, irritated"
1432680,いたい,痛い,painful
1160790,いち,一,one
1576260,いちにち,一日,first of the month
1165970,いちばん,,"best, first"
1188760,いつ,何時,when
1268570,いつか,五日,"five days, fifth day"
1163400,いっしょ,一緒,together
1268070,いつつ,五つ,five
1188890,いつも,,always
1258330,いぬ,犬,dog
1288850,いま,今,now
1156800,いみ,意味,meaning
1524590,いもうと,妹,(humble) younger sister
1587610,いや,嫌,unpleasant
1582820,いりぐち,入口,entrance
1577980,いる,居る,"to be, to have (used for people and animals)"
1546640,いる,要る,to need
1465610,いれる,入れる,to put in
