jmdict_seq,kana,kanji,waller_definition
2394370,あっ,,"Ah!,Oh!"
1150410,あい,愛,love
1151120,あいさつ,挨拶,"greeting,salutation"
1150860,あいじょう,愛情,"love,affection"
1284930,あいず,合図,"sign,signal"
1013980,アイスクリーム,,ice cream
1150450,あいする,愛する,to love
1401000,あいて,相手,"companion,partner,company"
1379210,あいにく,,"unfortunately,Sorry, but...."
1014590,アイロン,,(electric) iron
1014680,アウト,,out
1586210,あかり,明かり,"lamplight,light (in general),brightness"
1609010,あき,空き,"room,time to spare,emptiness"
1532310,あきらか,明らか,"obvious,evident,clear"
1436730,あきらめる,諦める,"to give up,to abandon"
1586250,あきる,飽きる,"to get tired of,to lose interest in,to have enough"
1152730,あくしゅ,握手,handshake
1152510,あくま,悪魔,"devil,demon,evil spirit"
1202450,あける,明ける,"to dawn,to become daylight"
1544990,あずける,預ける,"to give into custody,to entrust,to deposit"
1213060,あせ,汗,"sweat,perspiration"
1544730,あたえる,与える,"to give,to present,to award"
1512080,あたり,辺り,"vicinity,nearby"
1448810,あたる,当たる,"to be hit,to be successful,to be equivalent to"
1612620,あちこち,,here and there
1153440,あつかう,扱う,"to handle,to deal with,to treat"
1609050,あつまり,集まり,"gathering,meeting,assembly,collection"
1448860,あてる,当てる,"to hit,to apply a patch"
1383680,あと,跡,"(1) trace,tracks,mark,sign,(2) remains,ruins,(3) scar"
1254480,あな,穴,hole
1547450,あびる,浴びる,"to bathe,to bask in the sun,to shower"
1538590,あぶら,油,oil
1584930,あまり,余り,"not very (used as adverb),not much"
1271290,あやまり,誤り,error
1586730,あら,粗,"defect,flaw,blemish,weak point"
1549340,あらし,嵐,"storm,tempest"
1361510,あらた,新た,"new,fresh,novel"
1586780,あらゆる,,"all,every"
1263490,あらわす,表す,"to express,to show,to reveal"
1263490,あらわす,現す,"to show,to indicate,to display"
1610550,あらわれ,現れ,"embodiment,materialization"
1263510,あらわれる,現れる,"(1) to appear,to come in sight,to become visible,(2) to express oneself"
1586820,ありがとう,,"(conj,exp,int) Thank you"
1586840,ある,或,"a certain...,some..."
1586850,あるいは,,"or,possibly"
1019450,アルバム,,album
1517510,あわ,泡,"bubble,foam,froth,head on beer"
1284480,あわせる,合わせる,"to join together,to be opposite,to face,to unite"
1150110,あわれ,哀れ,"helpless,pity,sorrow,grief"
1154770,あん,案,"plan,suffix meaning draft"
1586910,あんき,暗記,"memorization,learning by heart"
1154120,あんてい,安定,"stability,equilibrium"
1981450,あんなに,,"to that extent,to that degree"
1584930,あんまり,,"not very,not much,remainder,rest"
1158500,い,胃,stomach
1583250,いえ,,TODO same as いいえ?
1156100,いいん,委員,committee member
1587040,ゆう,言う,to say
1156410,いがい,意外,"unexpected,surprising"
1578790,いき,行き,going
1578790,ゆき,行き,going
1404320,いき,息,"breath,tone"
1375040,いきおい,勢い,"force,vigor,energy,spirit"
1378590,いきもの,生き物,"living thing,animal"
1219960,いくつ,幾つ,"how many?,how old?"
1219980,いくら,幾ら,"how much?,how many?"
1000730,いけない,,"must not do,bad,wrong,not good"
1159930,いし,医師,"doctor,physician"
1156610,いし,意思,"intention,purpose"
1156560,いし,意志,"will,volition"
1158450,いじ,維持,"maintenance,preservation"
1156640,いしき,意識,"consciousness,senses"
1157760,いじょう,異常,"strangeness,abnormality,disorder"
1157070,いす,椅子,chair
1390780,いずみ,泉,"spring,fountain"
1566210,いずれ,,"where,which,who"
1155150,いぜん,以前,"ago,since,before,previous"
1481350,いた,板,"board,plank"
1155920,いだい,偉大,greatness
1584090,いだく,抱く,"(sl) to embrace,to hug,to harbour,to entertain"
1151580,いたずら,悪戯,"tease,prank,trick,practical joke"
1410800,いただきます,,expression of gratitude before meals
1587290,いただく,頂く,"to receive,to take food or drink (hum)"
1587300,いたみ,痛み,"pain,ache,sore,grief,distress"
1311870,いたる,至る,"to come,to arrive"
1308080,いち,市,"market,fair"
1587310,いち,位置,"place,situation,position,location"
1576100,いちじ,一時,"moment,time"
1609210,いちどに,一度に,all at once
1308300,いちば,市場,(the) market (as a concept)
1165970,いちばん,一番,"best,first,number one"
1188790,いつか,何時か,"sometime,someday,one day"
1575940,いっか,一家,"a house,a home,a family,a household"
1163170,いっしゅ,一種,"a species,a kind,a variety"
1163340,いっしゅん,一瞬,"a moment,an instant"
1576200,いっしょう,一生,"whole life,a lifetime,all through life"
1164340,いっそう,一層,"much more,still more,all the more"
1164510,いったい,一体,"(1) one object,one body,(2) what on earth?,really?,(3) generally"
1164740,いっち,一致,"(1) coincidence,agreement,(2) conformity"
1577130,いつでも,,"(at) any time,always,at all times,never (neg)"
1165790,いっぱん,一般,"general,liberal,universal,ordinary,average"
1166510,いっぽう,一方,"(1) on the other hand,(2) meanwhile,(3) only,simple,in turn"
1188880,いつまでも,,"forever,for good,eternally,as long as one likes,indefinitely"
1188890,いつも,何時も,"always,usually,every time,never (with neg. verb)"
1158400,いどう,移動,"removal,migration,movement"
1335290,いとこ,従兄弟,cousin (male)
1167820,いね,稲,rice-plant
1231890,いねむり,居眠り,"dozing,nodding off"
1531940,いのち,命,"command,decree,life,destiny"
1158950,いはん,違反,"violation (of law),transgression,infringement,breach"
1158810,いふく,衣服,clothes
1231720,いま,居間,living room (western style)
1288940,いまに,今に,"before long,even now"
1288950,いまにも,今にも,"at any time,soon"
2857380,いや,否,"no,the noes"
1155210,いらい,以来,"since,henceforth"
1155710,いらい,依頼,"(1) request,commission,dispatch,(2) dependence,trust"
1587700,いらいら,,"getting nervous,irritation"
1000920,いらっしゃい,,welcome
1160140,いりょう,医療,"medical care,medical treatment"
1217270,いわ,岩,"rock,crag"
1337370,いわい,祝い,"celebration,festival"
1337390,いわう,祝う,"to congratulate,to celebrate"
1264380,いわば,言わば,so to speak
1343150,いわゆる,,"the so-called,so to speak"
1022210,インク,,ink
1168190,いんさつ,印刷,printing
1168390,いんしょう,印象,impression
1169610,いんたい,引退,retire
1169660,いんよう,引用,"quotation,citation"
1025140,ウイスキー,,whisky
1352140,うわ,上,"upper,outer,surface"
1578010,うお,魚,fish
1577660,うがい,嗽,"gargle,rinse mouth"
1329650,うけとる,受け取る,"to receive,to get,to accept,to take"
1451170,うごかす,動かす,"to move,to shift"
1443970,うさぎ,兎,"rabbit,hare,cony"
1231490,うし,牛,"cattle,cow"
1319750,うしなう,失う,"to lose,to part with"
1269410,うしろ,後,"afterwards,since then,in the future"
1225510,うたがう,疑う,"to doubt,to distrust,to be suspicious of,to suspect"
1171300,うちゅう,宇宙,"universe,cosmos,space"
1253570,うつ,撃つ,"to attack,to defeat,to destroy"
1158160,うつす,移す,"to remove,to transfer,to infect"
1397720,うったえる,訴える,"to sue (a person),to resort to,to appeal to"
1565300,うなる,,"to groan,to moan"
1416340,うばう,奪う,to snatch away
1471560,うま,馬,"(1) horse,(2) promoted bishop (shogi)"
1609350,うまれ,生まれ,"birth,birth-place"
1473460,うめ,梅,"plum,plum-tree,lowest (of a three-tier ranking system)"
1550380,うらぎる,裏切る,"to betray,to turn traitor to,to double-cross"
1481920,うるさい,,"noisy,loud,fussy"
1219510,うれしい,嬉しい,"happy,glad,pleasant"
1473960,うれる,売れる,to be sold
1172590,うわさ,噂,"rumour,report,gossip,common talk"
1172610,うん,運,"fortune,luck"
1508290,え,柄,"handle,grip"
1174070,えいえん,永遠,"eternity,perpetuity,immortality,permanence"
1576520,えいきゅう,永久,"eternity,perpetuity,immortality"
1173660,えいきょう,影響,"influence,effect"
1173430,えいぎょう,営業,"business,trade,management"
1174760,えいせい,衛星,satellite
1173990,えいよう,栄養,"nutrition,nourishment"
1351400,えがお,笑顔,smiling face
1583460,えがく,描く,"to draw,to paint,to sketch,to depict,to describe"
1173340,えさ,餌,"feed,bait"
1029430,エネルギー,,(n) energy (de: Energie)
1588760,える,得る,"to get,to gain,to win"
1454500,うる,得る,"to get,to gain,to win"
1175570,えん,円,"circle,money"
1176430,えんき,延期,"postponement,adjournment"
1176820,えんぎ,演技,"acting,performance"
1176660,えんじょ,援助,"assistance,aid,support"
1030950,エンジン,,engine
1176960,えんぜつ,演説,"speech,address"
1607520,えんそう,演奏,musical performance
2826528,お,御,honourable
1643510,おい,老い,"old age,old person,the old,the aged"
1588810,おいつく,追い付く,"to overtake,to catch up (with)"
1629200,おう,王,"king,ruler,sovereign,monarch"
1432410,おう,追う,"to chase,to run after"
1181700,おうさま,王様,king
1181500,おうじ,王子,prince
1179830,おうじる,応じる,"to respond,to satisfy,to accept,to comply with,to apply for"
1180900,おうだん,横断,crossing
1332760,おえる,終える,to finish
1412880,おおいに,大いに,"very,much,greatly"
1588840,おおう,覆う,"to cover,to hide,to conceal,to wrap,to disguise"
1032390,オーバー,,"(1) overcoat,(2) over"
1413140,おおや,大家,"rich family,distinguished family"
1588920,おか,丘,"hill,height,knoll,rising ground"
1182500,おき,沖,open sea
1179320,おく,奥,"interior,inner part"
1403550,おくる,贈る,"to send,to give to,to award to,to confer on"
1223680,おこる,起こる,"to occur,to happen"
1545110,おさない,幼い,"very young,childish"
1589090,おさめる,収める,"to obtain,to reap,to pay,to supply,to accept"
1002450,おしゃべり,,"chattering,talk,idle talk"
1179040,おせん,汚染,"pollution,contamination"
1236650,おそらく,,perhaps
1589200,おそれる,恐れる,"to fear,to be afraid of"
1236690,おそろしい,恐ろしい,"terrible,dreadful"
1979930,おたがい,お互い,"mutual,reciprocal,each other"
1183590,おだやか,穏やか,"calm,gentle,quiet"
1420020,おとこのひと,男の人,man
1558400,おとる,劣る,"to fall behind,to be inferior to"
1002610,おなか,お腹,stomach
1224190,おに,鬼,"ogre,demon,it (i.e., in a game of tag)"
1410410,おび,帯,"band (e.g. conduction, valence)"
1660100,おひる,お昼,"lunch,noon"
1034660,オフィス,,office
1437560,おぼれる,溺れる,"to be drowned,to indulge in"
1002290,おまえ,,"(fam) you (sing),presence (of a high personage)"
1270700,おめでとう,お目出度う,"Congratulations!,an auspicious occasion!"
1535140,おめにかかる,お目に掛かる,
1589340,おもいで,思い出,"memories,recollections,reminiscence"
1324990,おもに,主に,"mainly,primarily"
1309460,おもわず,思わず,"unintentional,spontaneous"
1001560,おや,,parents
1613570,およぎ,泳ぎ,swimming
1523450,およそ,,"about,roughly,as a rule,approximately"
1228180,およぼす,及ぼす,"to exert,to cause,to exercise"
1577985,おる,居る,"to be (animate),to be,to exist"
1589580,おろす,下す,"to lower,to let go down"
1589580,おろす,降ろす,"to take down,to launch,to drop"
1589590,おわり,終,the end
2859161,おん,音,"sound,note"
1183090,おん,恩,"favour,obligation,debt of gratitude"
1183480,おんだん,温暖,warmth
1183510,おんど,温度,temperature
1190710,か,可,passable
1195710,か,課,counter for chapters (of a book)
1036170,カー,,car
1036400,カード,,"card,curd"
1198170,かい,会,"meeting,assembly,party,association,club"
